,report_date,total_gallons,gallons_returned,spill_start,spill_stop,hours,cause,actions,watershed,unit_id_1,unit_id_2,discharge_to,discharge_route,council_district,month,year,week,edwards_zone,pipe_diameter,pipe_length,pipe_type,installation_year,inches_no,rainfall_less_3,num_spills_compkey,num_spills_24mos,unit_type,asset_type,last_cleaned,response_time,response_datetime,public_notice,time_int,root_cause,steps_to_prevent,spill_street_address,multiple_spills,counts,months_since_cleaned,zip,lat,long
0,2019-03-10,2100,2100.0,3/10/2019 1:16:00 PM,3/10/2019 2:40:00 PM,1.4,grease,cleaned main,salado creek,66918,66917,street,none,0,3,2019,11,0,8.0,16.55,pvc,1997,0.0,0.0,1,1,gravity,sewer main,,0.45,2019-03-10,False,24,na,na,3200 Thousand Oaks Dr,False,1,0.0,78247-3317,29.572974,-98.436752
1,2019-03-10,80,0.0,3/10/2019 2:25:00 PM,3/10/2019 3:45:00 PM,1.333333333,grease,cleaned main,dos rios,24250,24193,stormdrain,none,3,3,2019,11,0,8.0,157.0,pvc,1988,0.0,0.0,1,1,gravity,sewer main,,1.08,2019-03-10,False,120,na,na,6804 S Flores St,False,1,0.0,78221-1902,29.352534,-98.489222
2,2019-03-09,79,0.0,3/9/2019 6:00:00 PM,3/9/2019 7:30:00 PM,1.5,structural,cleaned main,dos rios,2822,3351,alley,none,1,3,2019,10,0,8.0,350.0,cp,1955,0.0,0.0,1,1,gravity,sewer main,,1.00,2019-03-09,False,24,na,na,215 Audrey Alene Dr,True,1,0.0,78216-6610,29.50326,-98.503986
3,2019-03-09,83,0.0,3/9/2019 3:37:00 PM,3/9/2019 5:00:00 PM,1.3833333330000002,grease,na,salado creek,92804,92805,easement,none,3,3,2019,10,0,8.0,213.91,pvc,1983,0.0,0.0,1,1,gravity,sewer main,,0.55,2019-03-09,False,120,na,na,3602 Se Military Dr,False,1,0.0,78223-4582,29.353559,-98.425234
4,2019-03-06,75,0.0,3/6/2019 9:40:00 AM,3/6/2019 9:55:00 AM,0.25,structural,cleaned main,salado creek,61141,49543,street,none,2,3,2019,10,0,12.0,291.9,cp,1952,0.0,0.0,2,2,gravity,sewer main,,0.00,2019-03-06,False,3,na,na,100 Pansy Ln,False,1,0.0,78209,29.487718,-98.435759
5,2019-03-05,250,0.0,3/5/2019 2:22:00 PM,3/5/2019 2:32:00 PM,0.166666667,grease,cleaned main,dos rios,38907,26117,street,none,3,3,2019,10,0,8.0,315.0,rl,1992,0.0,0.0,2,2,gravity,sewer main,,0.00,2019-03-05,False,12,na,na,3200 S Hackberry St,False,1,0.0,78210,29.388004,-98.473421
6,2019-03-02,73,0.0,3/2/2019 1:42:00 PM,3/2/2019 2:55:00 PM,1.216666667,grease,cleaned main,medio creek,85120,85363,drainage culvert,none,4,3,2019,9,0,8.0,264.47,pvc,1985,0.0,0.0,1,1,gravity,sewer main,,0.73,2019-03-02,False,120,grease,"Increase FCS, ",9910 Sugarloaf Dr,False,1,0.0,78245-1147,29.434926,-98.675149
7,2019-03-01,76,0.0,3/1/2019 6:34:00 PM,3/1/2019 7:50:00 PM,1.266666667,grease,cleaned main,dos rios,26128,24334,stormdrain,none,3,3,2019,9,0,8.0,60.0,rl,2015,0.0,0.0,1,1,gravity,sewer main,,0.43,2019-03-01,False,120,na,"Increase FCS, ",3507 Piedmont Ave,False,2,0.0,78223-1367,29.382693,-98.466861
8,2019-03-01,76,0.0,3/1/2019 6:34:00 PM,3/1/2019 7:50:00 PM,1.266666667,grease,cleaned main,dos rios,26128,24334,stormdrain,none,3,3,2019,9,0,8.0,60.0,rl,2015,0.0,0.0,1,1,gravity,sewer main,,0.43,2019-03-01,False,120,na,"Increase FCS, ",3507 Piedmont Ave,False,2,0.0,78223-1367,29.382693,-98.466861
9,2013-02-28,500,0.0,2/28/2013 6:06:00 PM,2/28/2013 7:30:00 PM,1.4,debris,cleaned main,dos rios,24334,24336,stormdrain,none,0,2,2013,9,0,8.0,385.0,vcp,1965,0.0,0.0,1,0,gravity,sewer main,2010-08-11,0.0,,False,0,debris,"Design Request, ",3507 Piedmont Ave,False,2,30.0,78223-1367,29.382693,-98.466861
10,2013-02-28,500,0.0,2/28/2013 6:06:00 PM,2/28/2013 7:30:00 PM,1.4,debris,cleaned main,dos rios,24334,24336,stormdrain,none,0,2,2013,9,0,8.0,385.0,vcp,1965,0.0,0.0,1,0,gravity,sewer main,2010-08-11,0.0,,False,0,debris,"Design Request, ",3507 Piedmont Ave,False,2,30.0,78223-1367,29.382693,-98.466861
11,2019-02-26,3750,0.0,2/26/2019 9:00:00 AM,2/26/2019 10:15:00 AM,1.25,structural,cleaned main,leon creek,47292,47293,stormdrain,none,7,2,2019,9,0,8.0,175.39,cp,1956,0.0,0.0,1,1,gravity,sewer main,,0.00,2019-02-26,False,120,structural,"Design Request, ",349 Alicia,False,1,0.0,78228-5806,29.447661,-98.579132
12,2019-02-26,66,0.0,2/26/2019 5:24:00 PM,2/26/2019 6:30:00 PM,1.1,grease,cleaned main,dos rios,14241,14896,street,none,1,2,2019,9,0,8.0,194.1,pvc,1992,0.0,0.0,1,1,gravity,sewer main,,0.43,2019-02-26,False,120,debris,"Increase FCS, ",1502 W Mistletoe Ave,False,1,0.0,78201-5445,29.45436,-98.519284
13,2019-02-25,25,0.0,2/25/2019 4:43:00 PM,2/25/2019 5:37:00 PM,0.9,grease,cleaned main,salado creek,58914,61251,street  - over the edwards aquifer recharge zone,none,9,2,2019,9,5,8.0,124.0,pvc,1987,0.0,0.0,2,1,gravity,sewer main,,0.82,2019-02-25,False,60,grease,"Design Request, ",5 Trophy Rdg,False,2,0.0,78258-7713,29.655751,-98.476729
14,2019-02-25,25,0.0,2/25/2019 4:43:00 PM,2/25/2019 5:37:00 PM,0.9,grease,cleaned main,salado creek,58914,61251,street  - over the edwards aquifer recharge zone,none,9,2,2019,9,5,8.0,124.0,pvc,1987,0.0,0.0,2,1,gravity,sewer main,,0.82,2019-02-25,False,60,grease,"Design Request, ",5 Trophy Rdg,False,2,0.0,78258-7713,29.655751,-98.476729
15,2013-11-17,40,0.0,11/17/2013 4:56:00 PM,11/17/2013 7:30:00 PM,2.566666667,grease,cleaned main,salado creek,58914,61251,street,none,9,11,2013,47,1,8.0,124.0,pvc,1987,0.0,0.0,1,0,gravity,sewer main,2010-11-16,0.0,,False,0,grease,Other,5 Trophy Rdg,False,2,36.0,78258-7713,29.655751,-98.476729
16,2013-11-17,40,0.0,11/17/2013 4:56:00 PM,11/17/2013 7:30:00 PM,2.566666667,grease,cleaned main,salado creek,58914,61251,street,none,9,11,2013,47,1,8.0,124.0,pvc,1987,0.0,0.0,1,0,gravity,sewer main,2010-11-16,0.0,,False,0,grease,Other,5 Trophy Rdg,False,2,36.0,78258-7713,29.655751,-98.476729
17,2019-02-25,71,0.0,2/25/2019 12:54:00 PM,2/25/2019 2:05:00 PM,1.183333333,grease,cleaned main,leon creek,34430,47275,stormdrain,none,7,2,2019,9,0,8.0,360.0,rl,2011,0.0,0.0,1,1,gravity,sewer main,,0.27,2019-02-25,False,12,grease,na,4100 Culebra Rd,False,1,0.0,78228-4561,29.448494,-98.58517
18,2019-02-24,1080,0.0,2/24/2019 5:42:00 PM,2/24/2019 7:30:00 PM,1.8,contractor,cleaned main,salado creek,353828,73051,ground  - over the edwards aquifer recharge zone,none,0,2,2019,9,5,8.0,141.95,pvc,2007,0.0,0.0,1,1,gravity,sewer main,,1.30,2019-02-24,False,60,contractor,na,25903 Turquoise Sky,False,1,0.0,78261-2588,29.684973,-98.43384
19,2019-02-20,288,0.0,2/20/2019 3:42:00 PM,2/20/2019 6:06:00 PM,2.4,contractor,cleaned main,dos rios,97780,97779,street,none,3,2,2019,8,0,8.0,351.3,vcp,1962,0.0,0.0,1,1,gravity,sewer main,,2.23,2019-02-20,False,120,contractor,"Point Repair, ",116 Golden Crown,False,1,0.0,78223,29.372391,-98.442481
