"location_name","latitude","longitude","date_time","five_minute_rainfall"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-02 11:45:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-16 00:30:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-16 01:00:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-17 00:05:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-17 13:25:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-18 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-18 10:25:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-19 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-19 16:40:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-19 18:55:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-20 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-20 05:40:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-21 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-21 12:00:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-22 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-22 08:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-23 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-23 10:15:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-24 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-24 09:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-25 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-25 10:40:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-26 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-27 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-27 04:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-27 04:45:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-27 08:45:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-27 12:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-28 00:05:00","0.03"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-29 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-01-29 00:50:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-06 21:25:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-07 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-08 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-08 13:25:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-09 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-09 10:10:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-10 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-10 00:10:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-11 00:05:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-12 00:05:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-13 06:45:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-14 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-15 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-16 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-21 10:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-21 12:10:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-21 12:15:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-21 12:20:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-21 12:45:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-21 16:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-22 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 03:10:00","0.14"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 03:15:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 03:20:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 03:30:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 03:40:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 03:50:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 04:50:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 04:55:00","0.04"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 05:00:00","0.04"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 05:05:00","0.03"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 05:10:00","0.11"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 05:15:00","0.09"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 05:20:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 05:25:00","0.06"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 05:30:00","0.04"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 05:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 05:40:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 07:55:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-24 00:05:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-24 05:50:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-25 00:05:00","0.01"
