SSO_ID,INSPKEY,SERVNO,REPORTDATE,SPILL_ADDRESS,SPILL_ST_NAME,TOTAL_GAL,GALSRET,GAL,SPILL_START,SPILL_STOP,HRS,CAUSE,COMMENTS,ACTIONS,WATERSHED,UNITID,UNITID2,DISCHARGE_TO,DISCHARGE_ROUTE,COUNCIL_DISTRICT,FERGUSON,Month,Year,Week,EARZ_ZONE,Expr1029,PIPEDIAM,PIPELEN,PIPETYPE,INSTYEAR,DWNDPTH,UPSDPTH,Inches_No,RainFall_Less3,SPILL ADDRESS,SewerAssetExp,NUM_SPILLS_COMPKEY,NUM_SPILLS_24MOS,PREVSPILL_24MOS,UNITTYPE,ASSETTYPE,LASTCLND,ResponseTime,ResponseDTTM,Public Notice,TIMEINT,Root_Cause,STEPS_TO_PREVENT,SPILL_START_2,SPILL_STOP_2,HRS_2,GAL_2,SPILL_START_3,SPILL_STOP_3,HRS_3,GAL_3
6582,567722,,3/10/19,3200,THOUSAND OAKS DR,2100,2100,2100,3/10/2019 1:16:00 PM,3/10/2019 2:40:00 PM,1.4,Grease,"Spill ContainedReturned to SystemArea Cleaned and DisinfectedFlushed Area with H2O, Unstopped Main, ",CLEANED MAIN,SALADO CREEK,66918,66917,STREET,None,,172A2,3,2019,11,0,,8,16.55,PVC,1997,,,,,3200 THOUSAND OAKS DR,,1,1,,GRAVITY,Sewer Main,,0.45,10-Mar-19,FALSE,24,,,,,0.00,0,,,0.00,0
6583,567723,,3/10/19,6804,S FLORES ST,80,0,80,3/10/2019 2:25:00 PM,3/10/2019 3:45:00 PM,1.333333333,Grease,Spill ContainedArea Cleaned and Disinfected,CLEANED MAIN,DOS RIOS,24250,24193,STORMDRAIN,None,3,251A3,3,2019,11,0,,8,157,PVC,1988,,,,,6804 S FLORES,,1,1,,GRAVITY,Sewer Main,,1.08,10-Mar-19,FALSE,120,,,,,0.00,0,,,0.00,0
6581,567714,,3/9/19,215,AUDREY ALENE DR,79,0,10,3/9/2019 6:00:00 PM,3/9/2019 7:30:00 PM,1.5,Structural,"Spill ContainedArea Cleaned and DisinfectedFlushed Area with H2O, Unstopped Main, ",CLEANED MAIN,DOS RIOS,2822,3351,ALLEY,None,1,190E4,3,2019,10,0,,8,350,CP,1955,,,,,215 Audrey Alene Dr,,1,1,,GRAVITY,Sewer Main,,1.00,09-Mar-19,FALSE,24,,,03/10/2019 09:36,03/10/2019 10:45,1.15,69,,,0.00,0
6584,567713,,3/9/19,3602,SE MILITARY DR,83,0,83,3/9/2019 3:37:00 PM,3/9/2019 5:00:00 PM,1.383333333,Grease,"Spill ContainedArea Cleaned and DisinfectedFlushed Area with H2O, Unstopped Main, ",,SALADO CREEK,92804,92805,EASEMENT,None,3,252C3,3,2019,10,0,,8,213.91,PVC,1983,,,,,3602 SE MILITARY DR,,1,1,,GRAVITY,Sewer Main,,0.55,09-Mar-19,FALSE,120,,,,,0.00,0,,,0.00,0
6580,567432,,3/6/19,100,PANSY LN,75,0,75,3/6/2019 9:40:00 AM,3/6/2019 9:55:00 AM,0.25,Structural,"Spill ContainedArea Cleaned and DisinfectedFlushed Area with H2O, Unstopped Main, ",CLEANED MAIN,SALADO CREEK,61141,49543,STREET,None,2,192A7,3,2019,10,0,,12,291.9,CP,1952,,,,,100 PANSY LN,,2,2,15-Dec-18,GRAVITY,Sewer Main,,0.00,06-Mar-19,FALSE,3,,,,,0.00,0,,,0.00,0
6579,567274,,3/5/19,3200,S HACKBERRY ST,250,0,250,3/5/2019 2:22:00 PM,3/5/2019 2:32:00 PM,0.166666667,Grease,"Spill ContainedArea Cleaned and DisinfectedFlushed Area with H2O, Unstopped Main, ",CLEANED MAIN,DOS RIOS,38907,26117,STREET,None,3,231C6,3,2019,10,0,,8,315,RL,1992,,,,,3200 S Hackberry St,,2,2,11-Apr-17,GRAVITY,Sewer Main,,0.00,05-Mar-19,FALSE,12,,,,,0.00,0,,,0.00,0
6577,567046,,3/2/19,9910,SUGARLOAF DR,73,0,73,3/2/2019 1:42:00 PM,3/2/2019 2:55:00 PM,1.216666667,Grease,"Spill ContainedArea Cleaned and DisinfectedFlushed Area with H2O, Unstopped Main, ",CLEANED MAIN,MEDIO CREEK,85120,85363,DRAINAGE CULVERT,None,4,207A6,3,2019,9,0,GREASE,8,264.47,PVC,1985,,,,,9910 Sugarloaf Dr,,1,1,,GRAVITY,Sewer Main,,0.73,02-Mar-19,FALSE,120,GREASE,"Increase FCS, ",,,0.00,0,,,0.00,0
6576,567004,,3/1/19,3507,PIEDMONT AVE,76,0,76,3/1/2019 6:34:00 PM,3/1/2019 7:50:00 PM,1.266666667,Grease,"Spill ContainedArea Cleaned and DisinfectedFlushed Area with H2O, Unstopped Main, ",CLEANED MAIN,DOS RIOS,26128,24334,STORMDRAIN,None,3,231C6,3,2019,9,0,,8,60,RL,2015,,,,,3507 Piedmont Ave,,1,1,,GRAVITY,Sewer Main,,0.43,01-Mar-19,FALSE,120,,"Increase FCS, ",,,0.00,0,,,0.00,0
6573,566487,,2/26/19,349,ALICIA,3750,0,3750,2/26/2019 9:00:00 AM,2/26/2019 10:15:00 AM,1.25,Structural,"Spill ContainedArea Cleaned and DisinfectedFlushed Area with H2O, Unstopped Main, ",CLEANED MAIN,LEON CREEK,47292,47293,STORMDRAIN,None,7,209A4,2,2019,9,0,STRUCTURAL,8,175.39,CP,1956,,,,,349 Alicia,,1,1,,GRAVITY,Sewer Main,,0.00,26-Feb-19,FALSE,120,STRUCTURAL,"Design Request, ",,,0.00,0,,,0.00,0
6575,566539,,2/26/19,1502,W MISTLETOE AVE,66,0,66,2/26/2019 5:24:00 PM,2/26/2019 6:30:00 PM,1.1,Grease,"Spill ContainedArea Cleaned and DisinfectedFlushed Area with H2O, Unstopped Main, ",CLEANED MAIN,DOS RIOS,14241,14896,STREET,None,1,210C4,2,2019,9,0,DEBRIS,8,194.1,PVC,1992,,,,,1502 W Mistletoe Ave,,1,1,,GRAVITY,Sewer Main,,0.43,26-Feb-19,FALSE,120,DEBRIS,"Increase FCS, ",,,0.00,0,,,0.00,0
6571,566349,,2/25/19,5,TROPHY RDG,25,0,25,2/25/2019 4:43:00 PM,2/25/2019 5:37:00 PM,0.9,Grease,"Spill ContainedArea Cleaned and DisinfectedFlushed Area with H2O, Unstopped Main, ",CLEANED MAIN,SALADO CREEK,58914,61251,STREET  - Over The Edwards Aquifer Recharge Zone,NONE,9,131B5,2,2019,9,5,GREASE,8,124,PVC,1987,,,,,5 Trophy Ridge,,2,1,,GRAVITY,Sewer Main,,0.82,25-Feb-19,FALSE,60,GREASE,"Design Request, ",,,0.00,0,,,0.00,0
6572,566357,,2/25/19,4100,CULEBRA RD,71,0,71,2/25/2019 12:54:00 PM,2/25/2019 2:05:00 PM,1.183333333,Grease,Area Cleaned and Disinfected,CLEANED MAIN,LEON CREEK,34430,47275,STORMDRAIN,None,7,208F4,2,2019,9,0,GREASE,8,360,RL,2011,,,,,4100 Culebra Rd,,1,1,,GRAVITY,Sewer Main,,0.27,25-Feb-19,FALSE,12,GREASE,,,,0.00,0,,,0.00,0
6574,566256,,2/24/19,25903,TURQUOISE SKY,1080,0,1080,2/24/2019 5:42:00 PM,2/24/2019 7:30:00 PM,1.8,Contractor,Spill ContainedArea Cleaned and Disinfected,CLEANED MAIN,SALADO CREEK,353828,73051,GROUND  - Over The Edwards Aquifer Recharge Zone,None,,132A1,2,2019,9,5,CONTRACTOR,8,141.95,PVC,2007,,,,,25903 TURQUOISE SKY,,1,1,,GRAVITY,Sewer Main,,1.30,24-Feb-19,FALSE,60,CONTRACTOR,,,,0.00,0,,,0.00,0
6570,565855,,2/20/19,116,GOLDEN CROWN,288,0,288,2/20/2019 3:42:00 PM,2/20/2019 6:06:00 PM,2.4,Contractor,Spill ContainedArea Cleaned and Disinfected,CLEANED MAIN,DOS RIOS,97780,97779,STREET,None,3,231F8,2,2019,8,0,CONTRACTOR,8,351.3,VCP,1962,,,,,116 Golden Crown,,1,1,,GRAVITY,Sewer Main,,2.23,20-Feb-19,FALSE,120,CONTRACTOR,"Point Repair, ",,,0.00,0,,,0.00,0
6568,,2665111,2/18/19,3023,THOUSAND OAKS DR,1330,0,1330,2/18/2019 12:55:00 PM,2/18/2019 3:08:00 PM,2.216666667,Grease,,CLEANED LATERAL,SALADO CREEK,334582,,DRAINAGE CULVERT - Over The Edwards Aquifer Transition Zone,NONE,10,172A1,2,2019,8,0,GREASE,6,0,PVC,,,,,,THOUSAND OAKS DR 3023,,1,1,,LATERAL,Sewer Service Line,,1.92,18-Feb-19,FALSE,,GREASE,,,,0.00,0,,,0.00,0
6569,565600,,2/18/19,4838,OLD PEARSALL RD,481,0,481,2/18/2019 4:14:00 PM,2/19/2019 12:15:00 AM,8.016666667,Debris,"Spill ContainedArea Cleaned and DisinfectedFlushed Area with H2O, Unstopped Main, ",CLEANED MAIN,LEON CREEK,69776,69595,EASEMENT,None,4,248E1,2,2019,8,0,DEBRIS,8,289.08,PVC,1988,,,,,4838 Old Pearsall Rd,,1,1,,GRAVITY,Sewer Main,,0.00,18-Feb-19,FALSE,120,DEBRIS,"Increase FCS, ",,,0.00,0,,,0.00,0
6567,,2663741,2/17/19,23003,TREEMONT PARK,2000,,2000,2/17/2019 8:17:00 PM,2/17/2019 9:35:00 PM,1.3,Other - Mechanical,,RESTORED POWER TO LIFT STATION,SALADO CREEK,LS249,,GROUND - Over The Edwards Aquifer Recharge Zone,NONE,,132C5,2,2019,8,5,LIFT STATION,,,,2005,,,,,TREEMONT PARK 23003,,2,1,,SUBMERSED,Sewer Liftstation,,0.00,17-Feb-19,FALSE,,LIFT STATION,,,,0.00,0,,,0.00,0
6565,565091,,2/13/19,17203,NW MILITARY HWY,22800,0,22800,2/13/2019 5:28:00 AM,2/13/2019 8:00:00 AM,2.533333333,Debris,"Spill ContainedFlushed Area with H2O, Unstopped Main, ",CLEANED MAIN,DOS RIOS,559796,94778,DRAINAGE CULVERT - Over The Edwards Aquifer Recharge Zone,None,,149C5,2,2019,7,3,DEBRIS,8,429.13,PVC,2006,,,,,17203 N W Military Hwy,,1,1,,GRAVITY,Sewer Main,,2.03,13-Feb-19,FALSE,60,DEBRIS,"Increase FCS, ",,,0.00,0,,,0.00,0
6566,565127,,2/13/19,5126,GWENDA LEA,113,0,113,2/13/2019 1:07:00 PM,2/13/2019 3:00:00 PM,1.883333333,Structural,"Spill ContainedArea Cleaned and DisinfectedFlushed Area with H2O, ",CLEANED LATERAL,LEON CREEK,69611,69610,GROUND,None,4,248D3,2,2019,7,0,STRUCTURAL,8,300,PVC,1979,,,,,5126 Gwenda Lea,,1,1,,GRAVITY,Sewer Main,,1.63,13-Feb-19,FALSE,120,STRUCTURAL,,,,0.00,0,,,0.00,0
6564,563831,,2/4/19,12014,CANYON ROCK LN,150,0,150,2/4/2019 9:00:00 PM,2/4/2019 9:30:00 PM,0.5,Contractor,"Spill ContainedArea Cleaned and DisinfectedFlushed Area with H2O, Unstopped Main, ",CLEANED MAIN,LEON CREEK,1004735,1004741,DRAINAGE CULVERT,LEON CREEK,,165F8,2,2019,6,0,CONTRACTOR,8,291.5402759,PVC,2016,,,,,12014 Canyon Rock Ln,,1,1,,GRAVITY,Sewer Main,,0.00,04-Feb-19,FALSE,12,CONTRACTOR,"Increase FCS, ",,,0.00,0,,,0.00,0
6563,563649,,2/2/19,4315,ROGERS RD,1525,0,1525,2/2/2019 8:55:00 AM,2/2/2019 9:56:00 AM,1.016666667,Debris,"Spill ContainedArea Cleaned and DisinfectedFlushed Area with H2O, Unstopped Main, ",CLEANED MAIN,LEON CREEK,53732,53733,DRAINAGE CULVERT,None,6,186D8,2,2019,5,0,CONTRACTOR,8,415.61,PVC,1987,,,,,4315 ROGERS RD,,1,1,,GRAVITY,Sewer Main,,0.00,02-Feb-19,FALSE,120,CONTRACTOR,"Increase FCS, ",,,0.00,0,,,0.00,0
6562,,2641586,1/31/19,9765,POTRANCO RD,2000,2000,2000,1/31/2019 10:35:00 AM,1/31/2019 10:35:00 AM,0,Structural,,REPAIRED FORCE MAIN,LEON CREEK,1035473,64405,DRAINAGE CULVERT,NONE,4,206F6,1,2019,5,0,STRUCTURAL,8,931,CAS,1988,,,,,POTRANCO RD 09765,,5,1,,FORCE,Sewer Main,,0.00,31-Jan-19,FALSE,,STRUCTURAL,,,,0.00,0,,,0.00,0
6557,,2634023,1/26/19,21700,ANGOSTURA BLVD,2500,,2500,1/26/2019 9:00:00 AM,1/26/2019 10:40:00 AM,1.666666667,Contractor - Contractor Damaged 8 inch Force Main,,REPAIRED FORCE MAIN,SALADO CREEK,940096,940095,DRAINAGE CULVERT,NONE,,133B7,1,2019,4,1,CONTRACTOR,8,76.34,PVC,2006,,,,,21700 ANGOSTURA BLVD,,1,1,,FORCE,Sewer Force Main,,0.50,26-Jan-19,FALSE,,CONTRACTOR,"Point Repair, ",,,0.00,0,,,0.00,0
6559,562802,,1/25/19,109,WESTOAK RD,176,0,176,1/25/2019 10:17:00 AM,1/25/2019 11:45:00 AM,1.466666667,Structural,Area Cleaned and Disinfected,CLEANED MAIN,LEON CREEK,84265,84264,STREET,None,4,227F3,1,2019,4,0,STRUCTURAL,8,297.15,VCP,1961,,,,,109 Westoak Rd,,1,1,,GRAVITY,Sewer Main,,0.72,25-Jan-19,FALSE,12,STRUCTURAL,"Design Request, ",,,0.00,0,,,0.00,0
6560,562832,,1/25/19,450,S ACME RD,2900,0,2900,1/25/2019 4:49:00 PM,1/25/2019 6:45:00 PM,1.933333333,Debris,"Spill ContainedArea Cleaned and DisinfectedFlushed Area with H2O, Unstopped Main, ",CLEANED MAIN,DOS RIOS,1022497,18543,DRAINAGE CULVERT,None,6,208F8,1,2019,4,0,DEBRIS,8,60,PVC,2001,,,,,450 S Acme Rd,,1,1,,GRAVITY,Sewer Main,,1.52,25-Jan-19,FALSE,3,DEBRIS,"Increase FCS, ",,,0.00,0,,,0.00,0
6558,562721,,1/24/19,11723,WHISPER VALLEY,1000,0,1000,1/24/2019 8:40:00 PM,1/24/2019 8:50:00 PM,0.166666667,Grease,,CLEANED MAIN,DOS RIOS,78976,78759,STORMDRAIN,None,8,169F5,1,2019,4,0,GREASE,8,323,HDPE,2014,,,,,11723 Whisper Valley,,2,1,,GRAVITY,Sewer Main,,0.00,24-Jan-19,FALSE,12,GREASE,"Increase FCS, ",,,0.00,0,,,0.00,0
6561,562720,,1/24/19,6019,STONEY CREEK DR,315,0,315,1/24/2019 6:27:00 PM,1/24/2019 7:30:00 PM,1.05,Grease,Area Cleaned and Disinfected,CLEANED MAIN,LEON CREEK,68970,69020,DRAINAGE CULVERT,None,4,248B4,1,2019,4,0,GREASE,8,270,VCP,1972,,,,,6019 Stoney Creek,,1,1,,GRAVITY,Sewer Main,,0.83,24-Jan-19,FALSE,12,GREASE,"Point Repair, ",,,0.00,0,,,0.00,0
6556,562587,,1/23/19,200,CASTROVILLE RD,103,0,103,1/23/2019 1:42:00 PM,1/23/2019 3:25:00 PM,1.716666667,Grease,"Area Cleaned and DisinfectedFlushed Area with H2O, Unstopped Main, ",CLEANED MAIN,DOS RIOS,20026,20589,STREET,None,5,229F1,1,2019,4,0,GREASE,10,403.2,PVC,1982,,,,,200 Castroville Rd,,1,1,,GRAVITY,Sewer Main,,1.22,23-Jan-19,FALSE,120,GREASE,"Increase FCS, ",,,0.00,0,,,0.00,0
6554,,2626649,1/22/19,3709,N ST MARY'S ST,900,900,900,1/22/2019 10:54:00 AM,1/22/2019 11:30:00 AM,0.6,Contractor,,REPAIRED BY-PASS LINE,DOS RIOS,507003,10878,DRAINAGE CULVERT,NONE,9,211B3,1,2019,4,0,CONTRACTOR,12,199,HDPE,2012,,,,,ST MARY'S ST N 03709,,1,1,,GRAVITY,Sewer Main,,0.00,22-Jan-19,FALSE,6,CONTRACTOR,,,,0.00,0,,,0.00,0
6555,,2627853,1/22/19,20710,CACTUS LOOP,45000,0,45000,1/22/2019 6:18:00 PM,1/22/2019 11:05:00 PM,4.783333333,Structural,,REPAIRED FORCE MAIN,SALADO CREEK,LS191PMP02,59375,CREEK BED - Spilled Into Dry Creek Bed Of Mudd Crk - Over The Edwards Aquifer Recharge Zone,MUDD CREEK,,131C8,1,2019,4,,STRUCTURAL,,,,,,,,,CACTUS LOOP 20710 - Over The Edwards Aquifer Recharge Zone,,1,1,,PMPSUBM,Sewer Pump,,1.53,22-Jan-19,FALSE,,STRUCTURAL,"Point Repair, ",,,0.00,0,,,0.00,0
6553,,2615282,1/12/19,1804,AUSTIN HWY,2192,0,2192,1/12/2019 5:13:00 PM,1/12/2019 7:30:00 PM,2.28,I/I,,MONITORED AREA,SALADO CREEK,60181,483395,GROUND,NONE,10,192C5,1,2019,2,0,RAIN EVENT,33,35,CAS,1973,,,,,AUSTIN HWY 01804,,1,1,,SIPHON,Sewer Main,,0.62,12-Jan-19,FALSE,,RAIN EVENT,"Capacity Project, ",,,0.00,0,,,0.00,0
6552,,2606650,1/7/19,3310,SAUNDERS,1455,0,1455,1/7/2019 10:45:00 AM,1/8/2019 11:00:00 AM,24.25,Structural,,REPAIRED LATERAL,DOS RIOS,33518,,ALLEY,NONE,5,210A8,1,2019,2,0,STRUCTURAL,6,0,PVC,,,,,,SAUNDERS 03310,,1,1,,LATERAL,Sewer Service Line,,0.05,07-Jan-19,FALSE,,STRUCTURAL,,,,0.00,0,,,0.00,0
6550,549894,,1/6/19,1231,RIO LINDA,100,0,100,1/6/2019 12:40:00 PM,1/6/2019 1:40:00 PM,1,Debris,"Spill ContainedArea Cleaned and DisinfectedFlushed Area with H2O, Unstopped Main, ",CLEANED LATERAL,MEDIO CREEK,84689,85234,STREET,None,4,206F8,1,2019,2,0,DEBRIS,8,400,VCP,1973,,,,,1231 Rio Linda,,1,1,,GRAVITY,Sewer Main,,0.00,06-Jan-19,FALSE,12,DEBRIS,"Increase FCS, ",,,0.00,0,,,0.00,0
