report_date,total_gallons,gallons_returned,spill_start,spill_stop,hours,cause,actions,watershed,unit_id_1,unit_id_2,discharge_to,discharge_route,council_district,month,year,week,edwards_zone,pipe_diameter,pipe_length,pipe_type,installation_year,inches_no,rainfall_less_3,num_spills_compkey,num_spills_24mos,unit_type,asset_type,last_cleaned,response_time,response_datetime,public_notice,time_int,root_cause,steps_to_prevent,spill_street_address,multiple_spills
2019-03-10,2100,2100.0,3/10/2019 1:16:00 PM,3/10/2019 2:40:00 PM,1.4,grease,cleaned main,salado creek,66918,66917,street,none,0,3,2019,11,0,8.0,16.55,pvc,1997,0.0,0.0,1,1,gravity,sewer main,,0.45,2019-03-10,False,24,na,na,3200 Thousand Oaks Dr,False
2019-03-10,80,0.0,3/10/2019 2:25:00 PM,3/10/2019 3:45:00 PM,1.333333333,grease,cleaned main,dos rios,24250,24193,stormdrain,none,3,3,2019,11,0,8.0,157.0,pvc,1988,0.0,0.0,1,1,gravity,sewer main,,1.08,2019-03-10,False,120,na,na,6804 S Flores St,False
2019-03-09,79,0.0,3/9/2019 6:00:00 PM,3/9/2019 7:30:00 PM,1.5,structural,cleaned main,dos rios,2822,3351,alley,none,1,3,2019,10,0,8.0,350.0,cp,1955,0.0,0.0,1,1,gravity,sewer main,,1.00,2019-03-09,False,24,na,na,215 Audrey Alene Dr,True
2019-03-09,83,0.0,3/9/2019 3:37:00 PM,3/9/2019 5:00:00 PM,1.3833333330000002,grease,na,salado creek,92804,92805,easement,none,3,3,2019,10,0,8.0,213.91,pvc,1983,0.0,0.0,1,1,gravity,sewer main,,0.55,2019-03-09,False,120,na,na,3602 Se Military Dr,False
2019-03-06,75,0.0,3/6/2019 9:40:00 AM,3/6/2019 9:55:00 AM,0.25,structural,cleaned main,salado creek,61141,49543,street,none,2,3,2019,10,0,12.0,291.9,cp,1952,0.0,0.0,2,2,gravity,sewer main,,0.00,2019-03-06,False,3,na,na,100 Pansy Ln,False
2019-03-05,250,0.0,3/5/2019 2:22:00 PM,3/5/2019 2:32:00 PM,0.166666667,grease,cleaned main,dos rios,38907,26117,street,none,3,3,2019,10,0,8.0,315.0,rl,1992,0.0,0.0,2,2,gravity,sewer main,,0.00,2019-03-05,False,12,na,na,3200 S Hackberry St,False
2019-03-02,73,0.0,3/2/2019 1:42:00 PM,3/2/2019 2:55:00 PM,1.216666667,grease,cleaned main,medio creek,85120,85363,drainage culvert,none,4,3,2019,9,0,8.0,264.47,pvc,1985,0.0,0.0,1,1,gravity,sewer main,,0.73,2019-03-02,False,120,grease,"Increase FCS, ",9910 Sugarloaf Dr,False
2019-03-01,76,0.0,3/1/2019 6:34:00 PM,3/1/2019 7:50:00 PM,1.266666667,grease,cleaned main,dos rios,26128,24334,stormdrain,none,3,3,2019,9,0,8.0,60.0,rl,2015,0.0,0.0,1,1,gravity,sewer main,,0.43,2019-03-01,False,120,na,"Increase FCS, ",3507 Piedmont Ave,False
2019-02-26,3750,0.0,2/26/2019 9:00:00 AM,2/26/2019 10:15:00 AM,1.25,structural,cleaned main,leon creek,47292,47293,stormdrain,none,7,2,2019,9,0,8.0,175.39,cp,1956,0.0,0.0,1,1,gravity,sewer main,,0.00,2019-02-26,False,120,structural,"Design Request, ",349 Alicia,False
2019-02-26,66,0.0,2/26/2019 5:24:00 PM,2/26/2019 6:30:00 PM,1.1,grease,cleaned main,dos rios,14241,14896,street,none,1,2,2019,9,0,8.0,194.1,pvc,1992,0.0,0.0,1,1,gravity,sewer main,,0.43,2019-02-26,False,120,debris,"Increase FCS, ",1502 W Mistletoe Ave,False
2019-02-25,25,0.0,2/25/2019 4:43:00 PM,2/25/2019 5:37:00 PM,0.9,grease,cleaned main,salado creek,58914,61251,street  - over the edwards aquifer recharge zone,none,9,2,2019,9,5,8.0,124.0,pvc,1987,0.0,0.0,2,1,gravity,sewer main,,0.82,2019-02-25,False,60,grease,"Design Request, ",5 Trophy Rdg,False
2019-02-25,71,0.0,2/25/2019 12:54:00 PM,2/25/2019 2:05:00 PM,1.183333333,grease,cleaned main,leon creek,34430,47275,stormdrain,none,7,2,2019,9,0,8.0,360.0,rl,2011,0.0,0.0,1,1,gravity,sewer main,,0.27,2019-02-25,False,12,grease,na,4100 Culebra Rd,False
2019-02-24,1080,0.0,2/24/2019 5:42:00 PM,2/24/2019 7:30:00 PM,1.8,contractor,cleaned main,salado creek,353828,73051,ground  - over the edwards aquifer recharge zone,none,0,2,2019,9,5,8.0,141.95,pvc,2007,0.0,0.0,1,1,gravity,sewer main,,1.30,2019-02-24,False,60,contractor,na,25903 Turquoise Sky,False
2019-02-20,288,0.0,2/20/2019 3:42:00 PM,2/20/2019 6:06:00 PM,2.4,contractor,cleaned main,dos rios,97780,97779,street,none,3,2,2019,8,0,8.0,351.3,vcp,1962,0.0,0.0,1,1,gravity,sewer main,,2.23,2019-02-20,False,120,contractor,"Point Repair, ",116 Golden Crown,False
2019-02-18,1330,0.0,2/18/2019 12:55:00 PM,2/18/2019 3:08:00 PM,2.2166666669999997,grease,cleaned lateral,salado creek,334582,na,drainage culvert - over the edwards aquifer transition zone,none,10,2,2019,8,0,6.0,0.0,pvc,9999,0.0,0.0,1,1,lateral,sewer service line,,1.92,2019-02-18,False,0,grease,na,3023 Thousand Oaks Dr,False
2019-02-18,481,0.0,2/18/2019 4:14:00 PM,2/19/2019 12:15:00 AM,8.016666667,debris,cleaned main,leon creek,69776,69595,easement,none,4,2,2019,8,0,8.0,289.08,pvc,1988,0.0,0.0,1,1,gravity,sewer main,,0.00,2019-02-18,False,120,debris,"Increase FCS, ",4838 Old Pearsall Rd,False
2019-02-17,2000,0.0,2/17/2019 8:17:00 PM,2/17/2019 9:35:00 PM,1.3,other - mechanical,restored power to lift station,salado creek,LS249,na,ground - over the edwards aquifer recharge zone,none,0,2,2019,8,5,0.0,0.0,na,2005,0.0,0.0,2,1,submersed,sewer liftstation,,0.00,2019-02-17,False,0,lift station,na,23003 Treemont Park,False
2019-02-13,22800,0.0,2/13/2019 5:28:00 AM,2/13/2019 8:00:00 AM,2.5333333330000003,debris,cleaned main,dos rios,559796,94778,drainage culvert - over the edwards aquifer recharge zone,none,0,2,2019,7,3,8.0,429.13,pvc,2006,0.0,0.0,1,1,gravity,sewer main,,2.03,2019-02-13,False,60,debris,"Increase FCS, ",17203 Nw Military Hwy,False
2019-02-13,113,0.0,2/13/2019 1:07:00 PM,2/13/2019 3:00:00 PM,1.8833333330000002,structural,cleaned lateral,leon creek,69611,69610,ground,none,4,2,2019,7,0,8.0,300.0,pvc,1979,0.0,0.0,1,1,gravity,sewer main,,1.63,2019-02-13,False,120,structural,na,5126 Gwenda Lea,False
2019-02-04,150,0.0,2/4/2019 9:00:00 PM,2/4/2019 9:30:00 PM,0.5,contractor,cleaned main,leon creek,1004735,1004741,drainage culvert,leon creek,0,2,2019,6,0,8.0,291.5402759,pvc,2016,0.0,0.0,1,1,gravity,sewer main,,0.00,2019-02-04,False,12,contractor,"Increase FCS, ",12014 Canyon Rock Ln,False
2019-02-02,1525,0.0,2/2/2019 8:55:00 AM,2/2/2019 9:56:00 AM,1.016666667,debris,cleaned main,leon creek,53732,53733,drainage culvert,none,6,2,2019,5,0,8.0,415.61,pvc,1987,0.0,0.0,1,1,gravity,sewer main,,0.00,2019-02-02,False,120,contractor,"Increase FCS, ",4315 Rogers Rd,False
2019-01-31,2000,2000.0,1/31/2019 10:35:00 AM,1/31/2019 10:35:00 AM,0.0,structural,repaired force main,leon creek,1035473,64405,drainage culvert,none,4,1,2019,5,0,8.0,931.0,cas,1988,0.0,0.0,5,1,force,sewer main,,0.00,2019-01-31,False,0,structural,na,9765 Potranco Rd,False
2019-01-26,2500,0.0,1/26/2019 9:00:00 AM,1/26/2019 10:40:00 AM,1.6666666669999999,contractor - contractor damaged 8 inch force main,repaired force main,salado creek,940096,940095,drainage culvert,none,0,1,2019,4,1,8.0,76.34,pvc,2006,0.0,0.0,1,1,force,sewer force main,,0.50,2019-01-26,False,0,contractor,"Point Repair, ",21700 Angostura Blvd,False
