,addresses,zip,lat,long,short-zip
0,3200 Thousand Oaks Dr,78247-3317,29.572974,-98.436752,78247
1,6804 S Flores St,78221-1902,29.352534,-98.489222,78221
2,215 Audrey Alene Dr,78216-6610,29.50326,-98.503986,78216
3,3602 Se Military Dr,78223-4582,29.353559,-98.425234,78223
4,100 Pansy Ln,78209,29.487718,-98.435759,78209
5,3200 S Hackberry St,78210,29.388004,-98.473421,78210
6,9910 Sugarloaf Dr,78245-1147,29.434926,-98.675149,78245
7,3507 Piedmont Ave,78223-1367,29.382693,-98.466861,78223
8,349 Alicia,78228-5806,29.447661,-98.579132,78228
9,1502 W Mistletoe Ave,78201-5445,29.45436,-98.519284,78201
10,5 Trophy Rdg,78258-7713,29.655751,-98.476729,78258
11,4100 Culebra Rd,78228-4561,29.448494,-98.58517,78228
12,25903 Turquoise Sky,78261-2588,29.684973,-98.43384,78261
13,116 Golden Crown,78223,29.372391,-98.442481,78223
14,3023 Thousand Oaks Dr,78247-3314,29.57497,-98.439315,78247
15,4838 Old Pearsall Rd,78242,29.363546,-98.591292,78242
16,23003 Treemont Park,78261-2677,29.65664,-98.425374,78261
17,17203 Nw Military Hwy,78257-0003,29.603072,-98.565855,78257
18,5126 Gwenda Lea,78242-2416,29.347491,-98.599311,78242
19,12014 Canyon Rock Ln,,29.425173,-98.494599,
20,4315 Rogers Rd,78251-3689,29.473775,-98.693107,78251
21,9765 Potranco Rd,78251,29.437637,-98.680944,78251
22,21700 Angostura Blvd,78261-2607,29.64181,-98.384193,78261
23,109 Westoak Rd,78227-3523,29.401607,-98.634522,78227
24,450 S Acme Rd,78237-2215,29.426206,-98.58761,78237
25,11723 Whisper Valley,78230-3739,29.549848,-98.541879,78230
26,6019 Stoney Creek Dr,78242-2639,29.343928,-98.614715,78242
27,200 Castroville Rd,78207-5132,29.419934,-98.539472,78207
28,3709 N St Mary'S St,78212-3165,29.458498,-98.477891,78212
29,20710 Cactus Loop,78258-7454,29.634365,-98.46613,78258
30,1804 Austin Hwy,78218-1713,29.499648,-98.421919,78218
31,3310 Saunders,78207-4053,29.425718,-98.53575,78207
32,1231 Rio Linda,78245-1425,29.422593,-98.679282,78245
33,6606 Swiss Oaks,78227-1268,29.421541,-98.61933,78227
34,100 Ira Lee Rd,78218,29.501932,-98.421276,78218
35,500 Groos Ave,78223,29.372261,-98.466707,78223
36,100 Ira Lee Rd,78218,29.501932,-98.421276,78218
37,1538 Clower St,78201-3540,29.47766,-98.522116,78201
38,346 J St,78220-4022,29.404433,-98.443166,78220
39,5350 Encanta,78233-6444,29.547609,-98.389562,78233
40,6606 Swiss Oaks,78227-1268,29.421541,-98.61933,78227
41,6606 Swiss Oaks,78227-1268,29.421541,-98.61933,78227
42,10020 Ih 10 W,78230-2240,29.533531,-98.565239,78230
43,6835 Us Hwy 90 W,78227-3610,29.40326,-98.626031,78227
44,307 Azucena St,78237-1228,29.439434,-98.576196,78237
45,7100 Covel,78227,29.360828,-98.640531,78227
46,112 Claggett,78235-1004,29.350963,-98.445011,78235
47,6606 Swiss Oaks,78227-1268,29.421541,-98.61933,78227
48,602 Olney Dr,78209-4941,29.488142,-98.435822,78209
49,5601 Creekwood Dr,78233-4909,29.567219,-98.379306,78233
50,4158 Briarglen,78218-1520,29.510826,-98.41141,78218
51,13000 Pleasanton Rd,78221,29.292605,-98.502752,78221
52,3935 Thousand Oaks Dr,78217-1803,29.560011,-98.419917,78217
